date,day_of_week,day_name
2024-10-01,1,Tuesday
2024-10-02,2,Wednesday
2024-10-03,3,Thursday
2024-10-04,4,Friday
2024-10-05,5,Saturday
2024-10-06,6,Sunday
2024-10-07,0,Monday
2024-10-08,1,Tuesday
2024-10-09,2,Wednesday
2024-10-10,3,Thursday
2024-10-11,4,Friday
2024-10-12,5,Saturday
2024-10-13,6,Sunday
2024-10-14,0,Monday
2024-10-15,1,Tuesday
2024-10-16,2,Wednesday
2024-10-17,3,Thursday
2024-10-18,4,Friday
2024-10-19,5,Saturday
2024-10-20,6,Sunday
2024-10-21,0,Monday
2024-10-22,1,Tuesday
2024-10-23,2,Wednesday
2024-10-24,3,Thursday
2024-10-25,4,Friday
2024-10-26,5,Saturday
2024-10-27,6,Sunday
2024-10-28,0,Monday
2024-10-29,1,Tuesday
2024-10-30,2,Wednesday
2024-10-31,3,Thursday
2024-11-01,4,Friday
2024-11-02,5,Saturday
2024-11-03,6,Sunday
2024-11-04,0,Monday
2024-11-05,1,Tuesday
2024-11-06,2,Wednesday
2024-11-07,3,Thursday
2024-11-08,4,Friday
2024-11-09,5,Saturday
2024-11-10,6,Sunday
2024-11-11,0,Monday
2024-11-12,1,Tuesday
2024-11-13,2,Wednesday
2024-11-14,3,Thursday
2024-11-15,4,Friday
2024-11-16,5,Saturday
2024-11-17,6,Sunday
2024-11-18,0,Monday
2024-11-19,1,Tuesday
2024-11-20,2,Wednesday
2024-11-21,3,Thursday
2024-11-22,4,Friday
2024-11-23,5,Saturday
2024-11-24,6,Sunday
2024-11-25,0,Monday
2024-11-26,1,Tuesday
2024-11-27,2,Wednesday
2024-11-28,3,Thursday
2024-11-29,4,Friday
2024-11-30,5,Saturday
2024-12-01,6,Sunday
2024-12-02,0,Monday
2024-12-03,1,Tuesday
2024-12-04,2,Wednesday
2024-12-05,3,Thursday
2024-12-06,4,Friday
2024-12-07,5,Saturday
2024-12-08,6,Sunday
2024-12-09,0,Monday
2024-12-10,1,Tuesday
2024-12-11,2,Wednesday
2024-12-12,3,Thursday
2024-12-13,4,Friday
2024-12-14,5,Saturday
2024-12-15,6,Sunday
2024-12-16,0,Monday
2024-12-17,1,Tuesday
2024-12-18,2,Wednesday
2024-12-19,3,Thursday
2024-12-20,4,Friday
2024-12-21,5,Saturday
2024-12-22,6,Sunday
2024-12-23,0,Monday
2024-12-24,1,Tuesday
2024-12-25,2,Wednesday
2024-12-26,3,Thursday
2024-12-27,4,Friday
2024-12-28,5,Saturday
2024-12-29,6,Sunday
