pricing_id,competitor_id,competitor_name,product_name,category,date,regular_price_sar,promo_price_sar,on_promotion,competitor_type
PRICE00001,COMP001,McDonald's,Signature Burger,BURGER,2024-10-01,31.82,27.05,YES,Global Chain
PRICE00002,COMP001,McDonald's,Signature Burger,BURGER,2024-10-16,30.36,,NO,Global Chain
PRICE00003,COMP001,McDonald's,Signature Burger,BURGER,2024-10-31,32.21,,NO,Global Chain
PRICE00004,COMP001,McDonald's,Signature Burger,BURGER,2024-11-15,32.83,27.91,YES,Global Chain
PRICE00005,COMP001,McDonald's,Signature Burger,BURGER,2024-11-30,30.95,26.31,YES,Global Chain
PRICE00006,COMP001,McDonald's,Signature Burger,BURGER,2024-12-15,30.14,,NO,Global Chain
PRICE00007,COMP001,McDonald's,Value Burger,BURGER,2024-10-01,18.88,,NO,Global Chain
PRICE00008,COMP001,McDonald's,Value Burger,BURGER,2024-10-16,20.48,,NO,Global Chain
PRICE00009,COMP001,McDonald's,Value Burger,BURGER,2024-10-31,19.38,,NO,Global Chain
PRICE00010,COMP001,McDonald's,Value Burger,BURGER,2024-11-15,20.89,17.76,YES,Global Chain
PRICE00011,COMP001,McDonald's,Value Burger,BURGER,2024-11-30,20.88,,NO,Global Chain
PRICE00012,COMP001,McDonald's,Value Burger,BURGER,2024-12-15,19.69,,NO,Global Chain
PRICE00013,COMP001,McDonald's,Premium Burger,BURGER,2024-10-01,49.64,,NO,Global Chain
PRICE00014,COMP001,McDonald's,Premium Burger,BURGER,2024-10-16,44.45,37.78,YES,Global Chain
PRICE00015,COMP001,McDonald's,Premium Burger,BURGER,2024-10-31,48.98,,NO,Global Chain
PRICE00016,COMP001,McDonald's,Premium Burger,BURGER,2024-11-15,48.74,,NO,Global Chain
PRICE00017,COMP001,McDonald's,Premium Burger,BURGER,2024-11-30,47.11,,NO,Global Chain
PRICE00018,COMP001,McDonald's,Premium Burger,BURGER,2024-12-15,46.16,,NO,Global Chain
PRICE00019,COMP001,McDonald's,Chicken Burger,BURGER,2024-10-01,29.09,,NO,Global Chain
PRICE00020,COMP001,McDonald's,Chicken Burger,BURGER,2024-10-16,29.21,,NO,Global Chain
PRICE00021,COMP001,McDonald's,Chicken Burger,BURGER,2024-10-31,28.64,24.34,YES,Global Chain
PRICE00022,COMP001,McDonald's,Chicken Burger,BURGER,2024-11-15,26.94,,NO,Global Chain
PRICE00023,COMP001,McDonald's,Chicken Burger,BURGER,2024-11-30,26.41,,NO,Global Chain
PRICE00024,COMP001,McDonald's,Chicken Burger,BURGER,2024-12-15,26.49,,NO,Global Chain
PRICE00025,COMP001,McDonald's,Regular Fries,SIDES,2024-10-01,9.09,,NO,Global Chain
PRICE00026,COMP001,McDonald's,Regular Fries,SIDES,2024-10-16,8.78,,NO,Global Chain
PRICE00027,COMP001,McDonald's,Regular Fries,SIDES,2024-10-31,8.67,,NO,Global Chain
PRICE00028,COMP001,McDonald's,Regular Fries,SIDES,2024-11-15,9.1,,NO,Global Chain
PRICE00029,COMP001,McDonald's,Regular Fries,SIDES,2024-11-30,8.56,,NO,Global Chain
PRICE00030,COMP001,McDonald's,Regular Fries,SIDES,2024-12-15,8.55,,NO,Global Chain
PRICE00031,COMP001,McDonald's,Large Fries,SIDES,2024-10-01,14.24,,NO,Global Chain
PRICE00032,COMP001,McDonald's,Large Fries,SIDES,2024-10-16,13.5,,NO,Global Chain
PRICE00033,COMP001,McDonald's,Large Fries,SIDES,2024-10-31,13.99,,NO,Global Chain
PRICE00034,COMP001,McDonald's,Large Fries,SIDES,2024-11-15,12.93,10.99,YES,Global Chain
PRICE00035,COMP001,McDonald's,Large Fries,SIDES,2024-11-30,13.08,,NO,Global Chain
PRICE00036,COMP001,McDonald's,Large Fries,SIDES,2024-12-15,12.9,,NO,Global Chain
PRICE00037,COMP001,McDonald's,Soft Drink Regular,BEVERAGE,2024-10-01,7.02,,NO,Global Chain
PRICE00038,COMP001,McDonald's,Soft Drink Regular,BEVERAGE,2024-10-16,6.83,,NO,Global Chain
PRICE00039,COMP001,McDonald's,Soft Drink Regular,BEVERAGE,2024-10-31,7.05,,NO,Global Chain
PRICE00040,COMP001,McDonald's,Soft Drink Regular,BEVERAGE,2024-11-15,6.5,,NO,Global Chain
PRICE00041,COMP001,McDonald's,Soft Drink Regular,BEVERAGE,2024-11-30,6.75,,NO,Global Chain
PRICE00042,COMP001,McDonald's,Soft Drink Regular,BEVERAGE,2024-12-15,6.77,,NO,Global Chain
PRICE00043,COMP001,McDonald's,Soft Drink Large,BEVERAGE,2024-10-01,9.92,,NO,Global Chain
