inventory_id,store_id,product_id,product_name,category,date,current_stock,unit,reorder_point,max_capacity,days_on_hand,stock_status,unit_cost_sar
INV000001,S001,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-01,141,kg,64,346,3.7,NORMAL,15
INV000002,S001,P002,Chicken Breast,RAW_MATERIAL,2024-10-01,213,kg,85,459,4.2,NORMAL,12
INV000003,S001,P003,Burger Buns,RAW_MATERIAL,2024-10-01,218,units,67,365,5.4,NORMAL,0.5
INV000004,S001,P004,French Fries,RAW_MATERIAL,2024-10-01,273,kg,119,646,3.8,NORMAL,8
INV000005,S001,P005,Lettuce,RAW_MATERIAL,2024-10-01,229,kg,104,561,3.7,NORMAL,5
INV000006,S001,P006,Tomatoes,RAW_MATERIAL,2024-10-01,152,kg,61,333,4.1,NORMAL,4
INV000007,S001,P007,Cheese Slices,RAW_MATERIAL,2024-10-01,346,units,114,618,5.0,NORMAL,0.3
INV000008,S001,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-01,297,liters,121,657,4.1,NORMAL,25
INV000009,S001,P009,Cooking Oil,RAW_MATERIAL,2024-10-01,331,liters,119,646,4.6,NORMAL,18
INV000010,S001,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-01,322,liters,107,579,5.0,NORMAL,20
INV000011,S001,P011,Packaging Boxes,PACKAGING,2024-10-01,165,units,50,274,5.4,NORMAL,0.8
INV000012,S001,P012,Paper Cups,PACKAGING,2024-10-01,222,units,70,379,5.3,NORMAL,0.15
INV000013,S001,P013,Plastic Cutlery Sets,PACKAGING,2024-10-01,239,units,93,504,4.3,NORMAL,0.1
INV000014,S001,P014,Napkins,PACKAGING,2024-10-01,274,packs,77,418,5.9,NORMAL,2.5
INV000015,S001,P015,Ketchup Sachets,CONDIMENTS,2024-10-01,214,units,93,502,3.8,NORMAL,0.05
INV000016,S002,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-01,276,kg,98,650,4.7,NORMAL,15
INV000017,S002,P002,Chicken Breast,RAW_MATERIAL,2024-10-01,348,kg,94,620,6.2,NORMAL,12
INV000018,S002,P003,Burger Buns,RAW_MATERIAL,2024-10-01,217,units,55,366,6.5,NORMAL,0.5
INV000019,S002,P004,French Fries,RAW_MATERIAL,2024-10-01,338,kg,118,782,4.8,NORMAL,8
INV000020,S002,P005,Lettuce,RAW_MATERIAL,2024-10-01,273,kg,98,648,4.6,NORMAL,5
INV000021,S002,P006,Tomatoes,RAW_MATERIAL,2024-10-01,358,kg,87,577,6.8,NORMAL,4
INV000022,S002,P007,Cheese Slices,RAW_MATERIAL,2024-10-01,351,units,96,635,6.1,NORMAL,0.3
INV000023,S002,P008,Soft Drink Syrup,RAW_MATERIAL,2024-10-01,159,liters,58,387,4.5,NORMAL,25
INV000024,S002,P009,Cooking Oil,RAW_MATERIAL,2024-10-01,316,liters,79,521,6.7,NORMAL,18
INV000025,S002,P010,Ice Cream Mix,RAW_MATERIAL,2024-10-01,248,liters,60,396,6.9,NORMAL,20
INV000026,S002,P011,Packaging Boxes,PACKAGING,2024-10-01,207,units,62,414,5.5,NORMAL,0.8
INV000027,S002,P012,Paper Cups,PACKAGING,2024-10-01,405,units,108,712,6.2,NORMAL,0.15
INV000028,S002,P013,Plastic Cutlery Sets,PACKAGING,2024-10-01,282,units,96,636,4.9,NORMAL,0.1
INV000029,S002,P014,Napkins,PACKAGING,2024-10-01,286,packs,95,628,5.0,NORMAL,2.5
INV000030,S002,P015,Ketchup Sachets,CONDIMENTS,2024-10-01,325,units,84,554,6.4,NORMAL,0.05
INV000031,S003,P001,Beef Burger Patty,RAW_MATERIAL,2024-10-01,159,kg,59,283,4.5,NORMAL,15
INV000032,S003,P002,Chicken Breast,RAW_MATERIAL,2024-10-01,186,kg,71,344,4.3,NORMAL,12
INV000033,S003,P003,Burger Buns,RAW_MATERIAL,2024-10-01,172,units,81,390,3.5,NORMAL,0.5
INV000034,S003,P004,French Fries,RAW_MATERIAL,2024-10-01,223,kg,98,472,3.8,NORMAL,8
INV000035,S003,P005,Lettuce,RAW_MATERIAL,2024-10-01,266,kg,121,582,3.7,NORMAL,5
