transaction_id,store_id,date,day_of_week,num_transactions,total_revenue_sar,avg_ticket_sar,burgers_sold,sides_sold,drinks_sold,desserts_sold,lunch_peak_pct,dinner_peak_pct,other_hours_pct,delivery_orders,drive_thru_orders
TXN000001,S001,2024-10-01,Tuesday,291,10330.56,35.5,197,166,264,92,0.412,0.407,0.181,55,59
TXN000002,S002,2024-10-01,Tuesday,292,13171.27,45.11,190,166,262,88,0.365,0.447,0.187,67,58
TXN000003,S003,2024-10-01,Tuesday,262,12828.25,48.96,179,148,247,74,0.356,0.408,0.236,61,68
TXN000004,S004,2024-10-01,Tuesday,316,15671.9,49.59,222,204,270,96,0.408,0.449,0.142,74,81
TXN000005,S005,2024-10-01,Tuesday,371,13325.02,35.92,249,214,301,101,0.357,0.422,0.221,79,87
TXN000006,S001,2024-10-02,Wednesday,269,10542.15,39.19,182,173,241,83,0.362,0.458,0.18,44,64
TXN000007,S002,2024-10-02,Wednesday,366,17494.8,47.8,258,226,339,119,0.366,0.403,0.231,66,82
TXN000008,S003,2024-10-02,Wednesday,219,11794.94,53.86,161,127,196,63,0.414,0.437,0.149,38,49
TXN000009,S004,2024-10-02,Wednesday,295,11875.18,40.25,208,188,253,80,0.42,0.441,0.139,46,60
TXN000010,S005,2024-10-02,Wednesday,309,14692.62,47.55,225,182,250,89,0.42,0.442,0.138,76,88
TXN000011,S001,2024-10-03,Thursday,238,11760.64,49.41,170,143,199,74,0.358,0.435,0.207,46,70
TXN000012,S002,2024-10-03,Thursday,356,14335.33,40.27,249,202,333,119,0.371,0.451,0.178,75,76
TXN000013,S003,2024-10-03,Thursday,258,11813.2,45.79,187,155,206,72,0.351,0.474,0.174,61,73
TXN000014,S004,2024-10-03,Thursday,273,9871.27,36.16,201,176,221,81,0.355,0.461,0.184,61,58
TXN000015,S005,2024-10-03,Thursday,347,15960.64,46.0,234,221,299,94,0.388,0.458,0.154,59,80
TXN000016,S001,2024-10-04,Friday,450,21598.9,48.0,312,270,368,122,0.374,0.447,0.179,77,99
TXN000017,S002,2024-10-04,Friday,390,18572.6,47.62,262,249,362,100,0.367,0.454,0.18,66,83
TXN000018,S003,2024-10-04,Friday,379,17593.51,46.42,264,238,349,101,0.357,0.434,0.209,72,93
TXN000019,S004,2024-10-04,Friday,433,20986.34,48.47,324,242,372,122,0.41,0.42,0.17,73,106
TXN000020,S005,2024-10-04,Friday,478,19392.89,40.57,322,307,414,160,0.389,0.404,0.207,119,135
TXN000021,S001,2024-10-05,Saturday,447,23926.72,53.53,328,253,390,121,0.378,0.405,0.217,83,133
TXN000022,S002,2024-10-05,Saturday,416,21083.47,50.68,289,246,392,145,0.389,0.457,0.154,68,95
TXN000023,S003,2024-10-05,Saturday,383,17841.52,46.58,269,239,309,118,0.385,0.468,0.147,63,113
TXN000024,S004,2024-10-05,Saturday,354,13705.64,38.72,251,218,295,92,0.412,0.42,0.168,74,92
TXN000025,S005,2024-10-05,Saturday,478,22309.91,46.67,335,307,397,153,0.367,0.432,0.202,103,109
TXN000026,S001,2024-10-06,Sunday,264,13209.84,50.04,173,157,250,92,0.355,0.417,0.228,46,77
TXN000027,S002,2024-10-06,Sunday,356,18720.4,52.59,244,201,329,114,0.393,0.479,0.128,76,71
TXN000028,S003,2024-10-06,Sunday,262,10738.74,40.99,187,168,214,68,0.357,0.444,0.198,46,68
TXN000029,S004,2024-10-06,Sunday,308,12034.16,39.07,219,177,268,104,0.409,0.407,0.183,59,70
TXN000030,S005,2024-10-06,Sunday,297,14975.45,50.42,211,171,270,90,0.38,0.401,0.219,46,85
TXN000031,S001,2024-10-07,Monday,313,14370.4,45.91,229,190,257,82,0.372,0.472,0.157,71,89
TXN000032,S002,2024-10-07,Monday,358,14034.15,39.2,241,200,328,121,0.378,0.45,0.172,59,104
TXN000033,S003,2024-10-07,Monday,266,14503.42,54.52,194,169,213,86,0.373,0.474,0.152,61,76
TXN000034,S004,2024-10-07,Monday,317,12786.55,40.34,231,177,295,106,0.366,0.465,0.169,62,73
TXN000035,S005,2024-10-07,Monday,381,15069.28,39.55,248,216,323,128,0.418,0.422,0.16,81,91
TXN000036,S001,2024-10-08,Tuesday,320,14631.78,45.72,238,179,302,85,0.417,0.421,0.161,51,77
TXN000037,S002,2024-10-08,Tuesday,341,14074.28,41.27,242,204,292,104,0.368,0.457,0.175,51,99
TXN000038,S003,2024-10-08,Tuesday,242,11952.04,49.39,175,149,206,62,0.396,0.426,0.177,43,68
TXN000039,S004,2024-10-08,Tuesday,309,12670.99,41.01,210,182,265,86,0.359,0.434,0.207,75,82
TXN000040,S005,2024-10-08,Tuesday,392,18545.64,47.31,266,237,313,109,0.38,0.446,0.174,84,96
TXN000041,S001,2024-10-09,Wednesday,275,10800.36,39.27,191,176,252,73,0.356,0.441,0.203,58,64
TXN000042,S002,2024-10-09,Wednesday,350,17507.97,50.02,251,200,290,88,0.367,0.438,0.195,82,72
TXN000043,S003,2024-10-09,Wednesday,233,11089.71,47.6,155,144,203,63,0.396,0.4,0.204,52,64
TXN000044,S004,2024-10-09,Wednesday,255,11093.25,43.5,170,164,223,65,0.367,0.468,0.165,49,71
TXN000045,S005,2024-10-09,Wednesday,367,20096.13,54.76,260,236,342,114,0.4,0.44,0.159,85,93
TXN000046,S001,2024-10-10,Thursday,313,15610.28,49.87,218,180,262,98,0.404,0.442,0.155,66,71
TXN000047,S002,2024-10-10,Thursday,279,11359.36,40.71,188,162,245,73,0.366,0.456,0.178,61,57
TXN000048,S003,2024-10-10,Thursday,233,10683.57,45.85,161,132,201,79,0.391,0.456,0.153,54,64
TXN000049,S004,2024-10-10,Thursday,279,9797.9,35.12,191,174,258,96,0.379,0.46,0.161,57,72
TXN000050,S005,2024-10-10,Thursday,320,12604.3,39.39,221,176,272,101,0.378,0.413,0.208,62,68
TXN000051,S001,2024-10-11,Friday,406,14428.97,35.54,279,246,326,127,0.359,0.437,0.204,62,96
TXN000052,S002,2024-10-11,Friday,409,16988.6,41.54,296,240,373,136,0.368,0.407,0.226,62,103
TXN000053,S003,2024-10-11,Friday,386,16211.69,42.0,275,242,346,125,0.416,0.416,0.168,58,83
TXN000054,S004,2024-10-11,Friday,360,17420.1,48.39,254,205,325,117,0.362,0.449,0.19,80,76
TXN000055,S005,2024-10-11,Friday,536,29101.81,54.29,354,296,453,170,0.417,0.432,0.151,118,111
TXN000056,S001,2024-10-12,Saturday,414,19683.57,47.54,273,259,384,128,0.358,0.479,0.163,94,97
TXN000057,S002,2024-10-12,Saturday,438,18576.2,42.41,306,255,406,145,0.357,0.477,0.166,93,123
TXN000058,S003,2024-10-12,Saturday,356,15560.67,43.71,257,230,299,117,0.388,0.439,0.174,68,97
TXN000059,S004,2024-10-12,Saturday,377,19616.92,52.03,276,210,351,103,0.383,0.449,0.169,70,76
TXN000060,S005,2024-10-12,Saturday,541,20902.51,38.64,363,340,460,182,0.399,0.422,0.179,81,159
TXN000061,S001,2024-10-13,Sunday,245,12103.37,49.4,171,153,221,77,0.384,0.463,0.152,39,54
TXN000062,S002,2024-10-13,Sunday,338,13899.95,41.12,239,201,297,98,0.402,0.426,0.171,74,76
TXN000063,S003,2024-10-13,Sunday,222,8305.71,37.41,148,124,195,72,0.363,0.417,0.22,44,60
TXN000064,S004,2024-10-13,Sunday,331,15058.1,45.49,224,185,274,90,0.363,0.401,0.236,67,75
TXN000065,S005,2024-10-13,Sunday,399,18380.8,46.07,287,224,371,119,0.411,0.446,0.143,78,97
TXN000066,S001,2024-10-14,Monday,253,9114.97,36.03,188,151,233,73,0.355,0.45,0.194,39,54
TXN000067,S002,2024-10-14,Monday,326,13391.01,41.08,244,183,298,101,0.405,0.418,0.177,65,79
